feature,original_index,shap_importance
feature_613,677,0.0027266096
feature_661,725,0.0027239986
feature_66,130,0.0027211222
feature_790,854,0.002712628
feature_244,308,0.0027110502
feature_673,737,0.0026998483
feature_542,606,0.002698622
feature_683,747,0.0026985127
feature_426,490,0.0026962222
feature_259,323,0.0026906822
feature_600,664,0.0026877588
feature_422,486,0.0026853308
feature_420,484,0.0026789021
feature_860,924,0.0026775647
feature_682,746,0.0026639153
feature_16,80,0.00266052
feature_5,69,0.0026601285
feature_591,655,0.0026594894
feature_432,496,0.0026567315
feature_552,616,0.0026552
feature_524,588,0.0026549739
feature_1014,1078,0.002648345
feature_993,1057,0.0026475878
feature_131,195,0.002643979
feature_135,199,0.0026431386
feature_17,81,0.0026392518
feature_410,474,0.0026337425
feature_30,94,0.0026319223
feature_490,554,0.002630771
feature_93,157,0.0026175927
feature_35,99,0.002614743
feature_544,608,0.0026125775
feature_738,802,0.002611412
feature_461,525,0.0026111489
feature_419,483,0.0026108753
feature_226,290,0.0026022138
feature_351,415,0.0026018044
feature_464,528,0.0025982652
feature_279,343,0.0025975471
feature_772,836,0.002593962
feature_767,831,0.002587047
feature_688,752,0.002583806
feature_580,644,0.0025829407
feature_978,1042,0.0025796995
feature_188,252,0.0025785016
feature_777,841,0.0025777053
feature_11,75,0.002572566
feature_644,708,0.0025665613
feature_34,98,0.0025611117
feature_513,577,0.0025608838
feature_835,899,0.0025584274
feature_412,476,0.0025558125
feature_1013,1077,0.0025549063
feature_407,471,0.0025547906
feature_475,539,0.0025543836
feature_616,680,0.002552801
feature_387,451,0.0025481593
feature_711,775,0.0025451588
feature_909,973,0.0025443214
feature_415,479,0.0025393742
feature_21,85,0.0025364296
feature_979,1043,0.0025310565
feature_944,1008,0.0025304465
feature_727,791,0.0025280546
feature_202,266,0.002514362
feature_91,155,0.0025041974
feature_357,421,0.002502065
feature_1010,1074,0.0024981136
feature_760,824,0.0024948474
feature_1005,1069,0.002493993
feature_549,613,0.002492235
feature_235,299,0.0024811744
feature_952,1016,0.0024628108
feature_1012,1076,0.0024560231
feature_7,71,0.0024553388
feature_433,497,0.0024518382
feature_857,921,0.0024489732
feature_350,414,0.002448918
feature_592,656,0.002443235
feature_70,134,0.0024415131
feature_208,272,0.0024414775
feature_844,908,0.0024397792
feature_690,754,0.002438769
feature_250,314,0.002430007
feature_252,316,0.0024206175
feature_20,84,0.0024198836
feature_332,396,0.0024082179
feature_241,305,0.0024036802
feature_276,340,0.002402198
feature_421,485,0.0023926313
feature_237,301,0.0023769834
feature_982,1046,0.002370411
feature_897,961,0.0023662322
feature_298,362,0.0023597276
feature_970,1034,0.0023558158
feature_794,858,0.0023556866
feature_988,1052,0.002347047
feature_29,93,0.0023470353
feature_437,501,0.0023409626
feature_313,377,0.0023408507
feature_672,736,0.002340101
feature_234,298,0.0023341347
feature_948,1012,0.002326025
feature_456,520,0.002324674
feature_511,575,0.0023241916
feature_155,219,0.0023238454
feature_342,406,0.002323714
feature_230,294,0.002316062
feature_285,349,0.0023137513
feature_1,65,0.0023134777
feature_295,359,0.002311784
feature_137,201,0.002311098
feature_12,76,0.002309736
feature_264,328,0.002298136
feature_607,671,0.002295839
feature_715,779,0.002293569
feature_540,604,0.002292395
feature_820,884,0.0022799377
feature_479,543,0.0022766846
feature_61,125,0.002276646
feature_249,313,0.0022729293
feature_242,306,0.0022727542
feature_632,696,0.0022688818
feature_751,815,0.00226677
feature_391,455,0.0022639907
feature_571,635,0.0022636289
feature_960,1024,0.002245119
feature_87,151,0.0022434343
feature_740,804,0.002223352
feature_631,695,0.0022129067
feature_886,950,0.0022098485
feature_340,404,0.0022023444
feature_856,920,0.0022023374
feature_487,551,0.0021981793
feature_547,611,0.002193501
feature_247,311,0.0021931783
feature_617,681,0.0021897836
feature_182,246,0.0021720496
feature_664,728,0.0021614716
feature_108,172,0.0021585072
feature_480,544,0.0021527722
feature_598,662,0.0021459386
feature_178,242,0.0021437455
feature_903,967,0.0021408426
feature_713,777,0.002133356
feature_134,198,0.0021301988
feature_800,864,0.002128878
feature_506,570,0.0021124943
feature_744,808,0.0021054011
feature_71,135,0.0021040922
feature_521,585,0.0020990996
feature_382,446,0.002096854
feature_233,297,0.0020954497
feature_289,353,0.0020937282
feature_31,95,0.0020924185
feature_40,104,0.002089884
feature_884,948,0.0020879554
feature_494,558,0.0020820734
feature_365,429,0.0020710176
feature_714,778,0.0020657016
feature_498,562,0.0020653538
feature_958,1022,0.0020612262
feature_495,559,0.0020589768
feature_956,1020,0.0020585954
feature_923,987,0.0020578282
feature_266,330,0.0020518678
feature_3,67,0.0020500112
feature_434,498,0.0020340201
feature_721,785,0.0020232934
feature_280,344,0.0020120402
feature_377,441,0.002007887
feature_596,660,0.0020072795
feature_51,115,0.0020063464
feature_737,801,0.0020041692
feature_127,191,0.0019973428
feature_49,113,0.0019854386
feature_203,267,0.0019848077
feature_785,849,0.0019847038
feature_585,649,0.0019838691
feature_546,610,0.0019780085
feature_23,87,0.0019696169
feature_287,351,0.0019678029
feature_82,146,0.0019666867
feature_119,183,0.0019658664
feature_229,293,0.0019622447
feature_561,625,0.0019576421
feature_754,818,0.0019534065
feature_898,962,0.0019494923
feature_623,687,0.0019474992
feature_305,369,0.0019363237
feature_401,465,0.0019361298
feature_393,457,0.0019354925
feature_4,68,0.0019231894
feature_905,969,0.001920608
feature_45,109,0.0019161892
feature_118,182,0.0019045519
feature_192,256,0.00190428
feature_946,1010,0.0018982086
feature_268,332,0.0018922288
feature_668,732,0.0018815534
feature_133,197,0.0018807701
feature_784,848,0.0018799839
feature_24,88,0.0018738634
feature_423,487,0.0018664297
feature_181,245,0.0018570772
feature_223,287,0.0018548493
feature_394,458,0.0018483782
feature_232,296,0.0018461354
feature_788,852,0.0018446048
feature_145,209,0.0018430244
feature_619,683,0.0018354036
feature_360,424,0.0018304178
feature_55,119,0.0018234994
feature_736,800,0.0018144558
feature_46,110,0.0017985028
feature_864,928,0.0017946898
feature_139,203,0.0017927786
feature_939,1003,0.0017803552
feature_815,879,0.0017786435
feature_569,633,0.0017717112
feature_821,885,0.001761169
feature_915,979,0.0017559868
feature_156,220,0.0017558234
feature_848,912,0.0017549662
feature_200,264,0.0017508143
feature_731,795,0.0017505226
feature_128,192,0.0017432108
feature_597,661,0.001737076
feature_943,1007,0.0017344273
feature_38,102,0.0017327028
feature_1018,1082,0.0017255804
feature_782,846,0.0017132679
feature_281,345,0.001710886
feature_704,768,0.0017069147
feature_678,742,0.0017024851
feature_163,227,0.001701091
feature_215,279,0.0016976165
feature_774,838,0.0016912482
feature_349,413,0.0016856214
feature_455,519,0.0016830942
feature_8,72,0.0016813084
feature_640,704,0.0016800876
feature_123,187,0.0016781115
feature_430,494,0.0016696793
feature_499,563,0.0016621507
feature_653,717,0.0016540367
feature_564,628,0.0016490747
feature_124,188,0.0016373653
feature_384,448,0.0016336573
feature_873,937,0.0016268932
feature_577,641,0.0016250494
feature_186,250,0.0016223793
feature_519,583,0.0016210453
feature_69,133,0.0016122748
feature_474,538,0.0016067554
feature_545,609,0.0016057829
feature_450,514,0.0016054534
feature_399,463,0.0016021837
feature_504,568,0.0015963216
feature_184,248,0.0015941589
feature_933,997,0.0015924923
feature_462,526,0.0015903445
feature_941,1005,0.001583547
feature_812,876,0.0015711052
feature_773,837,0.0015710331
feature_863,927,0.0015701359
feature_1004,1068,0.0015611609
feature_398,462,0.0015611142
feature_998,1062,0.0015590326
feature_525,589,0.0015454771
feature_309,373,0.0015429223
feature_484,548,0.0015344952
feature_363,427,0.0015299701
feature_593,657,0.0015237428
feature_743,807,0.0015178439
feature_906,970,0.0015065519
feature_551,615,0.0015029281
feature_413,477,0.0015014284
feature_206,270,0.0014992602
feature_747,811,0.0014953082
feature_947,1011,0.0014911451
feature_710,774,0.0014882046
feature_105,169,0.0014761747
feature_724,788,0.0014721818
feature_757,821,0.0014714504
feature_852,916,0.0014708573
feature_463,527,0.0014694558
feature_514,578,0.0014649812
feature_307,371,0.0014643217
feature_469,533,0.0014614658
feature_924,988,0.0014598367
feature_639,703,0.001459296
feature_177,241,0.0014537608
feature_361,425,0.0014531625
feature_895,959,0.001451596
feature_270,334,0.0014460977
feature_109,173,0.0014408295
feature_1021,1085,0.0014338606
feature_624,688,0.0014258684
feature_752,816,0.0014148002
feature_892,956,0.0014137918
feature_44,108,0.0014075064
feature_675,739,0.001406501
feature_994,1058,0.001404341
feature_692,756,0.00140342
feature_220,284,0.0013929134
feature_741,805,0.001386344
feature_19,83,0.0013774205
feature_472,536,0.0013752717
feature_273,337,0.0013694275
feature_103,167,0.0013683811
feature_286,350,0.0013670069
feature_1015,1079,0.0013627508
feature_555,619,0.0013565356
feature_869,933,0.0013530385
feature_110,174,0.0013528309
feature_449,513,0.0013499549
feature_642,706,0.0013445887
feature_871,935,0.0013407434
feature_246,310,0.0013403051
feature_766,830,0.0013391201
feature_404,468,0.0013232118
feature_584,648,0.0013168862
feature_115,179,0.0013148367
feature_935,999,0.001313057
feature_153,217,0.001309939
feature_763,827,0.0012991541
feature_701,765,0.0012957401
feature_195,259,0.0012951334
feature_211,275,0.0012904471
feature_328,392,0.0012781475
feature_189,253,0.0012690631
feature_227,291,0.0012622863
feature_196,260,0.0012604635
feature_996,1060,0.0012574114
feature_390,454,0.0012561465
feature_510,574,0.0012509171
feature_89,153,0.0012486886
feature_496,560,0.0012477112
feature_440,504,0.0012458849
feature_550,614,0.0012314909
feature_436,500,0.0012207
feature_720,784,0.0012144143
feature_865,929,0.0012136451
feature_337,401,0.0012132934
feature_534,598,0.0012056021
feature_832,896,0.0011947657
feature_303,367,0.0011934071
feature_530,594,0.0011913202
feature_85,149,0.0011905299
feature_719,783,0.0011888113
feature_554,618,0.00117822
feature_441,505,0.0011727939
feature_283,347,0.0011695434
feature_677,741,0.0011677577
feature_776,840,0.0011621605
feature_100,164,0.0011605985
feature_1000,1064,0.0011551167
feature_964,1028,0.0011538325
feature_985,1049,0.0011526002
feature_893,957,0.0011525434
feature_764,828,0.0011474972
feature_601,665,0.0011373033
feature_358,422,0.0011369388
feature_914,978,0.0011330803
feature_505,569,0.0011304494
feature_716,780,0.0011295765
feature_60,124,0.0011252463
feature_918,982,0.001121062
feature_779,843,0.001119824
feature_344,408,0.0011197753
feature_878,942,0.001119536
feature_373,437,0.0011104095
feature_771,835,0.0011071593
feature_972,1036,0.0011060555
feature_1009,1073,0.0010998178
feature_657,721,0.0010940478
feature_636,700,0.0010937139
feature_531,595,0.0010908989
feature_686,750,0.0010893467
feature_302,366,0.0010822855
feature_625,689,0.0010734453
feature_500,564,0.00107172
feature_300,364,0.0010711348
feature_907,971,0.0010706764
feature_431,495,0.0010700728
feature_169,233,0.0010694875
feature_518,582,0.0010649082
feature_36,100,0.0010538533
feature_537,601,0.0010528169
feature_691,755,0.0010356306
feature_801,865,0.0010224323
feature_961,1025,0.0010090544
feature_453,517,0.0010072155
feature_700,764,0.0010070911
feature_753,817,0.0010027915
feature_75,139,0.0009982167
feature_843,907,0.0009874963
feature_622,686,0.0009837669
feature_888,952,0.0009821429
feature_995,1059,0.0009816085
feature_330,394,0.0009806454
feature_568,632,0.00097441504
feature_927,991,0.0009643606
feature_535,599,0.0009566121
feature_56,120,0.00095259206
feature_212,276,0.0009521966
feature_468,532,0.00093978614
feature_841,905,0.00093977153
feature_457,521,0.0009335151
feature_911,975,0.0009333106
feature_368,432,0.00090756704
feature_1011,1075,0.0009054516
feature_562,626,0.0008992754
feature_1001,1065,0.0008971071
feature_696,760,0.0008950528
feature_703,767,0.0008839307
feature_217,281,0.0008794583
feature_224,288,0.0008782223
feature_164,228,0.0008730051
feature_151,215,0.0008673787
feature_819,883,0.0008665951
feature_987,1051,0.0008573502
feature_578,642,0.0008523781
feature_435,499,0.000850352
feature_679,743,0.0008405118
feature_113,177,0.0008360095
feature_130,194,0.00083408644
feature_63,127,0.00082443486
feature_492,556,0.0008235017
feature_595,659,0.00082185096
feature_723,787,0.00081450155
feature_207,271,0.0008023223
